CPU Name,Brand,Generation,Series,Socket,Cores,Threads,GHz,TDP,Price,Link,Store,Model,Image URL
"AMD Ryzen 9 9950X3D (16C/32T, 4.30 GHz, 128MB Cache, 170W)",AMD,Zen 5,Ryzen 9,AM5,16,32,4.3,170W,821.22,https://www.dateks.lv/cenas/procesori-amd/1198886-amd-ryzen-9-9950x3d-16c-32t-4-30-ghz-128mb-cache-170w-,Dateks,Ryzen 9 9950X3D,https://www.dateks.lv/images/pic/1200/1200/332/1897.jpg
"AMD Ryzen 3 3100 (4C/8T,",AMD,Zen 2,Ryzen 3,AM4,4,8,3.6,65W,34.58,https://www.dateks.lv/cenas/procesori-amd/1103031-amd-ryzen-3-3100-4c-8t-3-6ghz-16mb-cache-65w-tray,Dateks,Ryzen 3 3100,https://www.dateks.lv/images/pic/1200/1200/819/1721.jpg
"AMD Ryzen 5 3500 (6C/6T,",AMD,Zen 2,Ryzen 5,AM4,6,6,3.6,65W,42.52,https://www.dateks.lv/cenas/procesori-amd/1103032-amd-ryzen-5-3500-6c-6t-3-6ghz-16mb-cache-65w-tray,Dateks,Ryzen 5 3500,https://www.dateks.lv/images/pic/1200/1200/579/1726.jpg
"AMD Ryzen 5 3500X (6C/6T, 3.60 GHz, 32MB Cache, 65W), TRAY",AMD,Zen 2,Ryzen 5,AM4,6,6,3.6,65W,43.65,https://www.dateks.lv/cenas/procesori-amd/1144356-amd-ryzen-5-3500x-6c-6t-3-60-ghz-32mb-cache-65w-tray,Dateks,Ryzen 5 3500X,https://www.dateks.lv/images/pic/1200/1200/709/1756.jpg
"AMD Ryzen 3 3100 (4C/8T, 3.60 GHz, 16MB Cache, 65W)",AMD,Zen 2,Ryzen 3,AM4,4,8,3.6,65W,45.51,https://www.dateks.lv/cenas/procesori-amd/1104055-amd-ryzen-3-3100-4c-8t-3-60-ghz-16mb-cache-65w-,Dateks,Ryzen 3 3100,https://www.dateks.lv/images/pic/1200/1200/938/1726.jpg
"AMD Ryzen 5 4500 (6C/12T, 3.60 GHz, 8MB Cache, 65W)",AMD,Zen 2,Ryzen 5,AM4,6,12,3.6,65W,65.16,https://www.dateks.lv/cenas/procesori-amd/834038-amd-ryzen-5-4500-6c-12t-3-60-ghz-8mb-cache-65w-,Dateks,Ryzen 5 4500,https://www.dateks.lv/images/pic/1200/1200/378/1174.jpg
"AMD Ryzen 5 3600 (6C/12T,",AMD,Zen 2,Ryzen 5,AM4,6,12,3.6,65W,68.05,https://www.dateks.lv/cenas/procesori-amd/680172-amd-ryzen-5-3600-6c-12t-3-6ghz-32mb-cache-65w-mpk-tray-cpu-cooler-,Dateks,Ryzen 5 3600,https://www.dateks.lv/images/pic/1200/1200/519/701.jpg
"AMD Ryzen 5 3600 (6C/12T,",AMD,Zen 2,Ryzen 5,AM4,6,12,3.6,65W,69.98,https://www.dateks.lv/cenas/procesori-amd/328860-amd-ryzen-5-3600-6c-12t-3-6ghz-32mb-cache-65w-,Dateks,Ryzen 5 3600,https://www.dateks.lv/images/pic/1200/1200/981/450.jpg
"AMD Ryzen 5 3600 (6C/12T, 3.60 GHz, 32MB Cache, 65W)",AMD,Zen 2,Ryzen 5,AM4,6,12,3.6,65W,69.98,https://www.dateks.lv/cenas/procesori-amd/1117830-amd-ryzen-5-3600-6c-12t-3-60-ghz-32mb-cache-65w-,Dateks,Ryzen 5 3600,https://www.dateks.lv/images/pic/1200/1200/682/1756.jpg
"AMD Ryzen 5 5500 (6C/12T, 3.60 GHz, 16MB Cache, 65W), MPK (TRAY CPU + COOLER)",AMD,Zen 3,Ryzen 5,AM4,6,12,3.6,65W,73.4,https://www.dateks.lv/cenas/procesori-amd/827738-amd-ryzen-5-5500-6c-12t-3-60-ghz-16mb-cache-65w-mpk-tray-cpu-cooler-,Dateks,Ryzen 5 5500,https://www.dateks.lv/images/pic/1200/1200/519/701.jpg
"AMD Ryzen 5 3400G (4C/8T,",AMD,Zen 2,Ryzen 5,AM4,4,8,3.7,65W,75.16,https://www.dateks.lv/cenas/procesori-amd/328731-amd-ryzen-5-3400g-4c-8t-3-7ghz-4mb-cache-vega-11-65w-,Dateks,Ryzen 5 3400G,https://www.dateks.lv/images/pic/1200/1200/104/451.jpg
"AMD Ryzen 5 5500 (6C/12T, 3.60 GHz, 16MB Cache, 65W)",AMD,Zen 3,Ryzen 5,AM4,6,12,3.6,65W,84.0,https://www.dateks.lv/cenas/procesori-amd/825557-amd-ryzen-5-5500-6c-12t-3-60-ghz-16mb-cache-65w-,Dateks,Ryzen 5 5500,https://www.dateks.lv/images/pic/1200/1200/659/789.jpg
"AMD Ryzen 3 4300G (4C/8T, 3.80 GHz, 4MB Cache, 65W)",AMD,Zen 2,Ryzen 3,AM4,4,8,3.8,65W,89.5,https://www.dateks.lv/cenas/procesori-amd/895222-amd-ryzen-3-4300g-4c-8t-3-80-ghz-4mb-cache-65w-,Dateks,Ryzen 3 4300G,https://www.dateks.lv/images/pic/1200/1200/429/1292.jpg
"AMD Ryzen 5 5600 (6C/12T, 3.50 GHz, 32MB Cache, 65W), TRAY + COOLER",AMD,Zen 3,Ryzen 5,AM4,6,12,3.5,65W,110.91,https://www.dateks.lv/cenas/procesori-amd/1135633-amd-ryzen-5-5600-6c-12t-3-50-ghz-32mb-cache-65w-tray-cooler,Dateks,Ryzen 5 5600,https://www.dateks.lv/images/pic/1200/1200/434/1802.jpg
"AMD Ryzen 5 8400F (6C/12T, 4.2 GHz, 16MB Cache, 65W), TRAY",AMD,Zen 4,Ryzen 5,AM5,6,12,4.0,65W,111.58,https://www.dateks.lv/cenas/procesori-amd/1104454-amd-ryzen-5-8400f-6c-12t-4-2-ghz-16mb-cache-65w-tray,Dateks,Ryzen 5 8400F,https://www.dateks.lv/images/pic/1200/1200/193/1748.jpg
"AMD Ryzen 5 5600 (6C/12T, 3.50 GHz, 32MB Cache, 65W)",AMD,Zen 3,Ryzen 5,AM4,6,12,3.5,65W,111.93,https://www.dateks.lv/cenas/procesori-amd/825558-amd-ryzen-5-5600-6c-12t-3-50-ghz-32mb-cache-65w-,Dateks,Ryzen 5 5600,https://www.dateks.lv/images/pic/1200/1200/659/789.jpg
"AMD Ryzen 5 5600T (6C/12T, 3.50 GHz, 32MB Cache, 65W)",AMD,Zen 3,Ryzen 5,AM4,6,12,3.5,65W,119.77,https://www.dateks.lv/cenas/procesori-amd/1155420-amd-ryzen-5-5600t-6c-12t-3-50-ghz-32mb-cache-65w-,Dateks,Ryzen 5 5600T,https://www.dateks.lv/images/pic/1200/1200/253/1863.jpg
"AMD Ryzen 5 5600GT (6C/12T, 3.60 GHz, 16MB Cache, 65W), TRAY",AMD,Zen 3,Ryzen 5,AM4,6,12,3.6,65W,124.15,https://www.dateks.lv/cenas/procesori-amd/1121329-amd-ryzen-5-5600gt-6c-12t-3-60-ghz-16mb-cache-65w-tray,Dateks,Ryzen 5 5600GT,https://www.dateks.lv/images/pic/1200/1200/009/1769.jpg
"AMD Ryzen 5 5500GT (6C/12T, 3.60 GHz, 16MB Cache, 65W)",AMD,Zen 3,Ryzen 5,AM4,6,12,3.6,65W,131.79,https://www.dateks.lv/cenas/procesori-amd/1062768-amd-ryzen-5-5500gt-6c-12t-3-60-ghz-16mb-cache-65w-,Dateks,Ryzen 5 5500GT,https://www.dateks.lv/images/pic/1200/1200/672/1597.jpg
"AMD Ryzen 5 5600XT (6C/12T, 3.70 GHz, 32MB Cache, 65W)",AMD,Zen 3,Ryzen 5,AM4,6,12,3.7,65W,132.54,https://www.dateks.lv/cenas/procesori-amd/1155419-amd-ryzen-5-5600xt-6c-12t-3-70-ghz-32mb-cache-65w-,Dateks,Ryzen 5 5600XT,https://www.dateks.lv/images/pic/1200/1200/253/1863.jpg
"AMD Ryzen 5 5600GT (6C/12T, 3.60 GHz, 16MB Cache, 65W)",AMD,Zen 3,Ryzen 5,AM4,6,12,3.6,65W,134.12,https://www.dateks.lv/cenas/procesori-amd/1062767-amd-ryzen-5-5600gt-6c-12t-3-60-ghz-16mb-cache-65w-,Dateks,Ryzen 5 5600GT,https://www.dateks.lv/images/pic/1200/1200/674/1597.jpg
"AMD Ryzen 5 5600X (6C/12T, 3.70 GHz, 32MB Cache, 65W)",AMD,Zen 3,Ryzen 5,AM4,6,12,3.7,65W,141.64,https://www.dateks.lv/cenas/procesori-amd/622419-amd-ryzen-5-5600x-6c-12t-3-70-ghz-32mb-cache-65w-,Dateks,Ryzen 5 5600X,https://www.dateks.lv/images/pic/1200/1200/659/789.jpg
"AMD Ryzen 5 8400F (6C/12T, 4.2 GHz, 16MB Cache, 65W)",AMD,Zen 4,Ryzen 5,AM5,6,12,4.0,65W,144.48,https://www.dateks.lv/cenas/procesori-amd/1102068-amd-ryzen-5-8400f-6c-12t-4-2-ghz-16mb-cache-65w-,Dateks,Ryzen 5 8400F,https://www.dateks.lv/images/pic/1200/1200/460/1738.jpg
